study,prenr,year,field,glescomp,survey,Fortlaufende,STARTH,STARTMIN,STARTSEC,starttime,ENDEH,ENDEMIN,ENDESEC,endtime,duration_time,TEXT,Participation_W1,Interupted,MODFRAGE,STRATEGI,VALENZ,Content,Character,Theme,ZEIT,POLHAND,KONKR,OBJ,POLEB,BULA,OBJ1,OBJ1S,OBJ1P,OBJ2,OBJ2S,OBJ2P,GRPDARST,HUMOR,Metaphor,Scold,ZAHLEN,LAGE,WERTE,STATISTI,BEISPIEL,HISTORIE,ZITAT
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",1,0,0,28,28,0,0,49,49,21,"Good evening from Berlin, dear viewers of this duel between two thousand and nine, of course also on behalf of my colleagues. This duel is a special duel. In two weeks's time, the Bundestag elections will take place, we are in year one of the biggest global and financial crisis since the war and we are governed by a grand coalition.",Illner,no,open question,does not apply,does not apply,Politics,does not apply,TV duel itself/time accounts,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",2,0,0,49,49,0,1,20,80,31,"Chancellor and Vice-Chancellor - they have governed together for four years and now that is to end. From September twenty-seventh. -- This is the first time they have met directly as opponents in this election campaign. It is probably the only time that they will meet in this way in this election campaign, a unique event in that respect, and I predict that we will probably only meet this once in this constellation. I would like to welcome Chancellor Angela Merkel and Vice-Chancellor Frank Walter Steinmeier to the studio.",Klöppel,no,open question,does not apply,does not apply,Politics,does not apply,TV duel itself/time accounts,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",3,0,1,20,80,0,1,34,94,14,"Mr. Steinmeier, if not now, then when? Explain to the voters, explain to Mrs. Merkel, you can say it right to her face, explain again why Angela Merkel should no longer be Chancellor after the election.",Plasberg,no,open question,does not apply,does not apply,Character,Leadership qualities,does not apply,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply,does not apply
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",4,0,1,34,94,0,1,38,98,4,"Mr. Plasberg, because there's a better alternative. Namely me.",Steinmeier,no,does not apply,Self-presentation,does not apply,Character,Leadership qualities,does not apply,does not apply,does not apply,does not apply,singular,Federal level,does not apply,Frank-Walter Steinmeier,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,Yes,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",5,0,1,38,98,0,1,47,107,9,What's it all about on September twenty-seventh? September twenty-seventh is the federal election and it's about the direction of politics.,Steinmeier,no,does not apply,No strategy,does not apply,Politics,does not apply,Bundestag election campaign area,Future,None of this,does not apply,No reference object,does not apply,does not apply,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",6,0,1,47,107,0,1,59,119,12,"Mrs. Merkel is not here today as the chancellor of the grand coalition, but as a candidate for the black-yellow coalition. And there are differences. And we must make these differences clear this evening.",Steinmeier,no,does not apply,No strategy,does not apply,Politics,does not apply,Bundestag election campaign area,Present/generally valid/not recognizable,does not apply,does not apply,singular,Federal level,does not apply,Angela Merkel,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",7,0,1,59,119,0,2,21,141,22,"But before I come to the differences, perhaps a look back at the grand coalition, at the last four years. I think we, Mrs. Merkel and I, have worked well together and we have achieved a lot. Some things, especially since September in the measures against the crisis, perhaps only because there was a grand coalition.",Steinmeier,no,does not apply,Self-presentation,does not apply,Politics,does not apply,Coalitions in general,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",8,0,2,21,141,0,2,26,146,5,But we have not achieved everything. We have also fallen short of our potential in many areas.,Steinmeier,no,does not apply,Self-criticism,does not apply,Politics,does not apply,POLITCS,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,Große Koalition/Bundesregierung,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,Inclusive representation,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",9,0,2,26,146,0,2,31,151,5,"areas because the CDU did not support one or the other,",Steinmeier,no,does not apply,Attack,Explicitly,Politics,does not apply,POLITCS,The past,Description of made/not-made policy,Zero statement,singular,Federal level,does not apply,CDU,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,no,no,no,no
ZA5311,1.1,2009,2009-09-13,Komponente 5: TV-Duell-Analyse,"TV-Duell-Analyse, Inhaltsanalyse TV-Duell",10,0,2,31,151,0,2,33,153,2,"minimum wages, for example, but",Steinmeier,no,does not apply,Attack,Explicitly,Politics,does not apply,Minimum wage specifically,The past,Description of made/not-made policy,General presentation,singular,Federal level,does not apply,CDU,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,does not apply,no,no,no,no,neutral/not available,no,Yes,no,no,no
